parameter_id,latex_symbol,description,nominal,lower,upper,unit,interval_type,source_rationale,independently_varied,propagation_rule,local_analysis,range_analysis,notes
T_min,$T_{\min}$,Lower thermal threshold,11.0,10.0,12.0,degC,literature-anchored / exploratory bounds,"Nominal value anchored to DD analyses for J. lybica; exact 10–12 °C range must be verified in cited sources [34,13,19].",Yes,Recompute T_opt=(2*T_max+T_min)/3 after each perturbation.,Semi-elasticity per +1 degC; do not use percent elasticity in Celsius.,Low/nominal/high; warning-date and lead-time shifts.,Thermal-location parameter; coupled to all mortality stress minima through derived T_opt.
T_max,$T_{\max}$,Upper thermal threshold,35.0,33.0,37.0,degC,literature-anchored / exploratory bounds,Nominal upper activity bound anchored to [34]; exact 33–37 °C range must be verified.,Yes,Recompute T_opt=(2*T_max+T_min)/3 after each perturbation.,Semi-elasticity per +1 degC; do not use percent elasticity in Celsius.,Low/nominal/high; warning-date and lead-time shifts.,Thermal-location parameter; coupled to all mortality stress minima through derived T_opt.
T_opt,$T_{\mathrm{opt}}$,Optimal temperature,27.0,,,degC,derived,Computed as (2*T_max+T_min)/3.,No,Updated whenever T_min or T_max changes.,None independently.,Inherited through T_min and T_max scenarios.,Do not include as an independent parameter in rankings.
beta_max,$\beta_{\max}$,Effective per-adult oviposition rate,5.0,3.0,6.0,eggs adult^-1 day^-1 (effective),literature-anchored / exploratory effective range,"Effective aggregate oviposition coefficient per TOTAL adult. The nominal value 5 is retained from the original case-study parameterization and is informed only by the scale of published per-female fecundity values for J. lybica and related Empoasca [34,37,38]; it is not obtained by applying a sex-ratio correction because the reproductive female fraction is not identifiable from the available trap data. The explored 3-6 interval is therefore literature-anchored but exploratory for the effective per-total-adult coefficient.",Yes,None.,Normalized local elasticity using a small symmetric step (e.g. ±1%).,Use stated asymmetric literature-informed bounds.,"A is total adult density. beta_max is a model-scale effective coefficient, partly confounded with A_intro during early oviposition; no sex-specific quantitative claim is made."
mu_E_min,"$\mu_{E,\min}$",Baseline egg mortality,0.05,0.035,0.065,day^-1,exploratory ±30%,Indirect life-history support only [34].,Yes,None.,Normalized local elasticity (small step).,Low/nominal/high and full interval response.,"Bounds represent assumed, not estimated, uncertainty."
mu_N_min,"$\mu_{N,\min}$",Baseline nymph mortality,0.042,0.029,0.055,day^-1,exploratory approximately ±30%,"Intermediate literature-informed value [34,39].",Yes,Wind mortality k_W*f_W(W) remains active.,Normalized local elasticity (small step).,Low/nominal/high and full interval response.,Bounds are rounded; state exact generation rule in code.
mu_A_min,"$\mu_{A,\min}$",Baseline adult mortality,0.03,0.021,0.039,day^-1,exploratory ±30%,Classical life-history anchor [39].,Yes,None.,Normalized local elasticity (small step).,Low/nominal/high and full interval response.,"Bounds represent assumed, not estimated, uncertainty."
gamma_E_max,"$\gamma_{E,\max}$",Maximum egg hatching rate,0.235,0.188,0.282,day^-1,exploratory ±20%,"Field-informed to reproduce phenology [34,13,40].",Yes,None.,Normalized local elasticity (small step).,"Low/nominal/high; E,N,A and ENEI trajectories; timing shifts.",Priority parameter explicitly raised by Reviewer #2.
gamma_N_max,"$\gamma_{N,\max}$",Maximum nymph development rate,0.12,0.096,0.144,day^-1,exploratory ±20%,"Field-informed to reproduce phenology [34,13,40].",Yes,Wind slowdown g_W(W) remains active.,Normalized local elasticity (small step).,"Low/nominal/high; E,N,A and ENEI trajectories; timing shifts.",Priority parameter explicitly raised by Reviewer #2.
A_intro,$A_{\mathrm{intro}}$,Initial adult immigration pulse,0.02,0.01,0.04,adults leaf^-1,exploratory / site-informed (factor-of-two span),"Not directly measured in Mazzoni et al. (2003) [40], which reports adult captures per sticky trap rather than adults per leaf. Total-adult immigration pulse selected to reflect early-season colonization; Appendix A.3.1 indicates strong amplification.",Yes,Pulse applied on biofix date defined by T_move.,"Normalized local elasticity (small step), with caution about multiplicative confounding.",Use full 0.01-0.04 span; report timing and amplitude effects.,"Internal modelling convention, not a direct field estimate. Factor-of-two exploratory span around the nominal. Confounded with beta_eff during the early reproductive phase (only the product beta_eff*A_intro drives early oviposition)."
